2025-06-24 09:23:05,960 - LOG ±â·ÏµÊ: {'time': '2025-06-24 09:23:05', 'cam': 'cam2_thermal', 'label': 'person', 'clip': '/clips/cam2_thermal/20250624_092250_354202.mp4'}
2025-06-24 09:23:06,020 - LOG ±â·ÏµÊ: {'time': '2025-06-24 09:23:06', 'cam': 'cam4_thermal', 'label': 'person', 'clip': '/clips/cam4_thermal/20250624_092250_472055.mp4'}
2025-06-24 09:23:24,454 - LOG ±â·ÏµÊ: {'time': '2025-06-24 09:23:24', 'cam': 'cam4_rgb', 'label': 'person', 'clip': '/clips/cam4_rgb/20250624_092253_907327.mp4'}
2025-06-24 09:23:24,454 - LOG ±â·ÏµÊ: {'time': '2025-06-24 09:23:24', 'cam': 'cam2_rgb', 'label': 'person', 'clip': '/clips/cam2_rgb/20250624_092259_336620.mp4'}
2025-06-24 09:23:24,459 - LOG ±â·ÏµÊ: {'time': '2025-06-24 09:23:24', 'cam': 'cam4_rgb', 'label': 'person', 'clip': '/clips/cam4_rgb/20250624_092259_002690.mp4'}
2025-06-24 09:23:24,824 - LOG ±â·ÏµÊ: {'time': '2025-06-24 09:23:24', 'cam': 'cam2_rgb', 'label': 'person', 'clip': '/clips/cam2_rgb/20250624_092253_717422.mp4'}
2025-06-24 09:23:31,655 - LOG ±â·ÏµÊ: {'time': '2025-06-24 09:23:31', 'cam': 'cam1_thermal', 'label': 'person', 'clip': '/clips/cam1_thermal/20250624_092310_466285.mp4'}
2025-06-24 09:23:39,411 - LOG ±â·ÏµÊ: {'time': '2025-06-24 09:23:39', 'cam': 'cam1_rgb', 'label': 'person', 'clip': '/clips/cam1_rgb/20250624_092318_995939.mp4'}
2025-06-24 09:23:40,777 - LOG ±â·ÏµÊ: {'time': '2025-06-24 09:23:40', 'cam': 'cam1_rgb', 'label': 'person', 'clip': '/clips/cam1_rgb/20250624_092328_532669.mp4'}
2025-06-24 10:43:23,591 - LOG ±â·ÏµÊ: {'time': '2025-06-24 10:43:23', 'cam': 'cam3_thermal', 'label': 'animal', 'clip': '/clips/cam3_thermal/20250624_104322_057064.mp4'}
2025-06-24 10:43:25,203 - LOG ±â·ÏµÊ: {'time': '2025-06-24 10:43:25', 'cam': 'cam3_rgb', 'label': 'animal', 'clip': '/clips/cam3_rgb/20250624_104323_384853.mp4'}
2025-06-24 10:43:26,359 - LOG ±â·ÏµÊ: {'time': '2025-06-24 10:43:26', 'cam': 'cam3_rgb', 'label': 'animal', 'clip': '/clips/cam3_rgb/20250624_104324_519781.mp4'}
2025-06-24 10:43:45,880 - LOG ±â·ÏµÊ: {'time': '2025-06-24 10:43:45', 'cam': 'cam3_thermal', 'label': 'animal', 'clip': '/clips/cam3_thermal/20250624_104344_259953.mp4'}
2025-06-24 10:43:49,080 - LOG ±â·ÏµÊ: {'time': '2025-06-24 10:43:49', 'cam': 'cam3_rgb', 'label': 'animal', 'clip': '/clips/cam3_rgb/20250624_104347_417188.mp4'}
2025-06-24 10:43:50,781 - LOG ±â·ÏµÊ: {'time': '2025-06-24 10:43:50', 'cam': 'cam3_thermal', 'label': 'animal', 'clip': '/clips/cam3_thermal/20250624_104350_152556.mp4'}
2025-06-24 10:44:21,426 - LOG ±â·ÏµÊ: {'time': '2025-06-24 10:44:21', 'cam': 'cam3_rgb', 'label': 'animal', 'clip': '/clips/cam3_rgb/20250624_104412_155408.mp4'}
2025-06-24 10:44:23,101 - LOG ±â·ÏµÊ: {'time': '2025-06-24 10:44:23', 'cam': 'cam3_thermal', 'label': 'animal', 'clip': '/clips/cam3_thermal/20250624_104407_417604.mp4'}
2025-06-24 10:44:23,625 - LOG ±â·ÏµÊ: {'time': '2025-06-24 10:44:23', 'cam': 'cam3_thermal', 'label': 'animal', 'clip': '/clips/cam3_thermal/20250624_104416_599559.mp4'}
2025-06-24 10:44:29,635 - LOG ±â·ÏµÊ: {'time': '2025-06-24 10:44:29', 'cam': 'cam2_thermal', 'label': 'person', 'clip': '/clips/cam2_thermal/20250624_104403_636480.mp4'}
2025-06-24 10:44:29,855 - LOG ±â·ÏµÊ: {'time': '2025-06-24 10:44:29', 'cam': 'cam2_rgb', 'label': 'person', 'clip': '/clips/cam2_rgb/20250624_104406_752164.mp4'}
2025-06-24 10:44:31,847 - LOG ±â·ÏµÊ: {'time': '2025-06-24 10:44:31', 'cam': 'cam2_rgb', 'label': 'person', 'clip': '/clips/cam2_rgb/20250624_104412_874929.mp4'}
2025-06-24 10:44:39,407 - LOG ±â·ÏµÊ: {'time': '2025-06-24 10:44:39', 'cam': 'cam1_thermal', 'label': 'person', 'clip': '/clips/cam1_thermal/20250624_104424_894060.mp4'}
2025-06-24 10:44:44,786 - LOG ±â·ÏµÊ: {'time': '2025-06-24 10:44:44', 'cam': 'cam1_rgb', 'label': 'person', 'clip': '/clips/cam1_rgb/20250624_104431_705243.mp4'}
2025-06-24 11:25:08,426 - LOG ±â·ÏµÊ: {'time': '2025-06-24 11:25:08', 'cam': 'cam3_thermal', 'label': 'animal', 'clip': '/clips/cam3_thermal/20250624_112506_881854.mp4'}
